Filename,ClassId
02308,34
07456,4
07824,24
06216,35
03548,38
05303,7
09364,33
08524,7
08956,12
04931,11
04543,3
08283,31
03129,38
06677,25
11489,3
07037,8
02769,17
07790,38
08145,9
04122,20
04685,2
05762,12
09705,7
09073,18
05014,3
08194,29
04654,4
08633,4
10218,4
07741,20
11458,38
06101,4
04592,38
08987,18
01919,35
04235,8
08252,9
09412,11
09860,2
05807,18
05475,4
11039,11
03599,38
06560,33
06912,5
07487,35
10679,4
07320,32
10340,2
02147,18
07619,38
10895,4
11972,2
11500,22
06059,10
03707,3
12415,1
00612,1
01052,4
11161,2
03366,2
06438,8
02281,5
10721,39
07278,5
02526,4
02954,23
10086,7
01394,2
01841,33
01433,8
12074,12
09938,9
00273,9
00977,10
00505,4
04869,39
01345,8
01890,13
02250,1
10057,5
02985,4
03410,28
03862,10
11617,30
01724,12
01083,10
00164,18
12363,3
03071,1
06088,5
11276,9
10391,17
02631,13
10844,18
10436,1
02196,2
00386,34
12626,33
00421,4
00853,29
09318,17
12181,18
04298,28
08558,12
01261,8
10173,26
02374,8
07858,33
03293,5
11733,10
03946,11
03534,1
11094,5
08139,9
01600,38
12247,2
00040,7
09779,16
11352,2
03155,4
11887,3
10512,28
10960,13
02715,16
02063,2
10264,30
11383,7
03623,2
11424,2
11856,9
03184,3
12296,7
00736,39
05068,19
12531,5
00091,1
04628,13
01176,1
03242,7
11045,19
03997,13
02870,12
02402,8
07889,38
10605,9
01517,42
01965,12
04249,5
08589,22
05409,38
00357,3
12150,1
00882,10
09157,11
05130,18
12469,9
05697,38
04770,38
08717,13
01789,7
07665,13
06025,32
06782,3
04311,38
08376,18
09944,5
09536,20
05551,1
05923,13
12008,22
09291,11
06836,30
06444,10
07204,28
02928,1
07900,17
07572,12
06495,11
06332,26
05580,1
09995,1
00579,0
05227,12
09240,10
08872,3
08400,25
04467,12
04815,10
01339,31
06753,1
10838,3
07113,23
08061,10
01758,36
04006,31
09186,4
05646,8
00118,1
09621,26
04538,5
01266,42
00854,24
00426,13
05378,13
12186,11
00381,13
12621,5
03533,12
03941,7
11093,14
03294,21
11734,35
02373,25
10174,35
05719,7
00047,10
12240,35
01607,3
04159,31
08699,11
02712,1
10967,2
10515,4
03152,2
11880,10
11355,10
11851,27
11423,7
03183,17
11384,34
03624,11
10263,22
02064,5
04188,14
01171,41
08648,28
12536,25
00096,3
09008,16
12291,11
00731,2
10602,17
02405,1
02877,16
11042,25
03990,12
03245,9
06969,35
12157,10
00885,24
09469,38
00350,17
01962,17
01510,5
08229,10
04777,15
01029,1
08710,17
05690,2
09150,4
00669,4
05137,25
11909,1
06785,14
06022,25
07662,31
09296,25
09531,16
09943,2
05924,32
05556,18
00208,13
01448,8
04316,42
08371,1
07203,28
06443,9
06831,1
06335,10
03819,4
06492,33
07575,42
07907,30
08407,3
08875,38
04812,5
04460,38
01499,8
05220,4
09247,18
05587,12
09992,4
07114,1
06754,12
05641,3
09626,12
12318,4
09181,2
08066,9
04001,34
11748,12
06211,13
10108,18
07823,25
07451,7
08284,32
08951,13
08523,2
04544,7
04936,38
00828,38
05304,17
09363,1
10569,1
07797,18
07030,25
03689,4
11329,7
06670,4
05765,2
09702,33
04682,12
08142,32
04125,31
04653,8
08634,1
08193,34
09074,33
05013,18
06106,5
03658,10
02018,9
07746,8
09867,14
09415,6
05472,25
05800,10
04232,13
08255,35
04595,2
08980,36
07327,8
02479,31
07480,31
11799,13
03239,8
06915,10
06567,5
03700,35
11507,5
11975,38
02140,38
10892,41
10347,4
01055,11
00615,10
12412,21
02953,33
02521,15
10081,4
02286,10
10726,3
03361,31
11166,2
06398,1
05958,10
00274,25
12073,35
01434,23
01846,4
01393,5
01897,9
08809,9
01342,13
05989,3
00502,9
00970,12
11610,7
06349,40
03865,12
03417,13
10050,4
02982,12
02257,12
07509,35
12364,3
00163,31
01084,2
01723,15
10431,25
10843,38
02191,2
10396,19
07168,15
02636,13
11271,13
03076,34
06728,13
07851,5
07423,3
07384,13
06263,3
12188,25
09311,4
00428,38
05376,12
04536,5
04944,25
01268,2
08923,8
08551,12
04291,35
06602,6
07042,12
10969,12
01609,13
04157,18
08130,25
08697,10
09770,12
05717,2
00049,8
00098,9
12538,24
05061,13
09006,23
04186,20
08646,8
04621,38
07093,4
07734,2
06174,38
08580,13
04995,26
08227,18
04240,7
12159,13
05400,26
05872,12
09815,15
09467,33
06967,25
06515,38
07880,12
07355,35
02879,7
10335,10
02695,13
10492,10
02132,3
11575,18
11907,1
03772,1
12460,14
00667,13
05139,2
01780,33
04779,25
01027,4
11114,42
03313,33
10754,2
02921,11
02553,4
01446,12
01834,4
04318,12
09298,18
12001,3
05558,35
00206,2
09249,31
00570,3
00902,38
05589,10
01330,10
08409,8
01497,7
02225,17
07909,34
10785,33
02582,34
10022,18
03817,18
03465,38
11662,37
01751,20
08068,22
09628,18
00111,14
12316,36
03004,11
11203,11
02644,10
10443,36
10831,3
00826,15
00454,1
04938,10
01214,30
10106,35
02301,1
11746,10
03541,5
03933,13
01675,22
12232,17
00792,1
12595,25
00035,17
11327,2
03687,10
11480,38
03120,2
07799,8
10915,3
10567,8
02760,30
02016,8
07748,11
10211,10
06108,27
03656,25
11823,13
11451,30
00743,17
12544,2
01103,20
03237,1
06569,28
11797,3
03590,33
11030,7
07329,22
02477,12
02805,41
10670,28
01910,25
01562,38
00322,5
09869,12
00485,10
12125,16
05145,4
09122,13
09685,7
08762,9
04705,2
07610,10
10349,10
06050,18
11509,38
08303,6
01848,14
04364,11
05956,13
05524,31
09543,32
09931,8
05283,38
06431,1
06843,17
06396,10
11168,33
07271,36
10728,38
02288,30
02259,10
07507,2
07975,4
06892,25
06347,7
03419,2
09592,3
05987,13
09235,4
05252,1
01899,38
04860,33
04412,12
08475,14
08807,11
06081,1
03078,2
06726,16
07166,4
02638,28
10398,1
04073,13
08014,4
05194,13
09654,15
05633,35
01213,12
08958,4
00453,40
00821,14
06218,4
03934,9
03546,14
11741,38
02306,4
07458,14
10101,14
12592,22
00032,34
12235,11
00795,42
01672,9
07039,7
02767,38
10560,13
10912,1
11487,3
03127,14
06679,25
11320,12
03680,2
11456,14
11824,17
03651,14
10216,4
02011,12
01104,23
12543,13
00744,4
10677,1
07489,33
02802,28
02470,10
03597,12
11037,9
03230,31
11790,0
00482,35
12122,13
05809,38
00325,35
08989,1
01565,1
01917,16
08765,38
04702,25
09682,1
05142,14
09125,17
06057,35
03709,2
02149,33
07617,12
05284,17
05523,31
05951,8
09936,19
09544,13
08304,34
04363,3
10088,2
07276,39
02528,25
06391,18
03368,13
06844,33
06436,33
06340,9
11619,8
06895,35
07972,3
07500,6
10059,22
04415,11
04867,11
08800,8
08472,8
09232,12
00979,2
05255,3
09595,1
05980,10
07161,2
02198,12
10438,10
06721,1
11278,2
06086,5
09653,35
05634,13
05193,17
04074,38
08013,21
06264,21
03948,25
07383,6
07424,22
07856,13
04296,35
04943,14
04531,35
08556,35
08924,7
12628,7
00388,17
09316,14
05371,3
07045,7
11889,41
06605,2
12249,18
09777,9
05710,2
08690,8
04150,35
08137,3
08641,5
04626,12
01178,5
04181,8
00738,4
05066,24
12298,12
09001,5
06173,7
11858,33
07733,11
07094,7
05875,35
05407,14
00359,10
09460,10
09812,11
08220,1
01519,0
04247,12
08587,26
04992,2
07352,5
07887,10
06512,29
06960,17
03999,4
03775,11
11900,8
